172.604765177,126.434659958,14.7394878864
151.936994076,127.836981058,5.67790699005
166.043094158,128.682502985,14.6050000191
200.579402924,163.404110193,14.5505781174
169.79647398,132.982930183,14.3871378899
260.493442774,224.037284136,14.0274450779
217.467869043,177.340687037,14.5186169147
228.959057808,188.387897015,14.9909100533
193.830221891,154.054977894,14.3361070156
208.810028076,168.403349876,14.6769108772
310.655961037,257.76847887,16.4392108917
250.491789103,205.552365065,16.6010138988
293.786763906,247.957708836,16.7929289341
