epoch,acc,loss
0,0.52059519303607193,0.74616272583245502
1,0.54272509675729008,0.72627702815000106
2,0.60823278695845939,0.71517748073284593
3,0.47491533261261965,0.73347444853028332
4,0.44318022118327233,0.72566372775160093
5,0.4417689878244091,0.71059378283924302
6,0.46721529031333792,0.54323256482695037
7,0.49618085587411415,0.44075602494133725
8,0.44871931232897355,0.68740093726971296
9,0.56142393982452177,0.63011461420054693
10,0.4924146267352823,0.46012213895820292
11,0.51178380505939158,0.58636163166216304
12,0.4949019255003288,0.65680003175837154
13,0.63544313058376967,0.57318347882320841
14,0.49544877879731114,0.3729490019772031
15,0.4806131876339006,0.48343325914121688
16,0.57753846128982467,0.70371793954887263
17,0.50272545093187349,0.48203195212767574
18,0.53052674893698815,0.38589152459184289
19,0.59969482566431087,0.3800680759723164
20,0.61785563519103603,0.46333693683823635
21,0.64336367856948773,0.4069345414211355
22,0.51820491728350004,0.51833857613962209
23,0.55325642636404881,0.45191624064846853
24,0.54867873825143365,0.64258891703737619
25,0.47780836112216335,0.67308322798849496
